,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  85 and over ;
Jun-2028,121310,120279,119522,118951,118209,117284,116156,114841,113211,111561,109818,105252,109595,107335,106984,108432,108217,108740,110667,112102,115399,117029,117067,119312,122440,125506,127849,132346,135136,137212,139280,139747,140339,142494,142154,139840,138754,138410,138031,133926,131279,128399,127640,125051,123676,121823,117534,113979,108703,104816,102344,100845,100941,100516,103042,104281,107009,106933,99139,97233,94234,91795,92487,92329,96436,97304,96590,95348,91507,88525,87112,83962,81115,77547,74468,72375,68567,66696,63922,60241,59378,58762,48380,44006,40042,216900
Jun-2029,122000,121136,120572,120168,119586,118814,117830,116674,115182,113660,111973,110239,105552,109954,107754,107611,109260,109703,110952,113969,115605,118251,120894,122254,123753,125682,128174,130311,134605,137153,139006,140615,140997,141570,143498,142950,140394,139150,138781,138290,134193,131399,128450,127692,125053,123687,121729,117375,113769,108534,104592,102177,100634,100685,100256,102794,103928,106600,106566,98844,96920,93911,91481,92130,91864,95878,96672,95817,94494,90610,87513,86034,82834,79894,76234,73032,70784,66937,64906,62034,58189,57111,56231,45979,41513,226158
Jun-2030,122605,121830,121429,121217,120800,120184,119355,118343,117009,115626,114064,112388,110525,105916,110369,108380,108443,110749,111904,114246,117461,118462,122120,126070,126729,126997,128387,130634,132584,136640,138968,140364,141863,142224,142576,144307,143499,140794,139511,139035,138540,134290,131436,128493,127689,125061,123590,121562,117155,113584,108296,104419,101961,100381,100423,100022,102450,103533,106227,106233,98526,96590,93591,91140,91673,91348,95264,95905,94962,93569,89581,86443,84886,81592,78549,74771,71435,69109,65153,63001,59931,55982,54659,53455,43385,235822
Jun-2031,123147,122436,122123,122074,121846,121395,120721,119864,118670,117447,116023,114474,112665,110881,106336,110990,109212,109936,112949,115190,117733,120312,122339,127304,130532,130004,129706,130880,132902,134634,138471,140343,141632,143091,143226,143389,144867,143894,141160,139753,139282,138620,134302,131464,128483,127690,124959,123417,121332,116960,113327,108114,104197,101700,100121,100188,99691,102061,103174,105887,105872,98189,96262,93244,90702,91166,90779,94518,95057,94038,92510,88491,85302,83623,80226,77051,73145,69753,67274,63254,60879,57669,53596,51968,50455,246202
Jun-2032,123651,122984,122731,122770,122702,122438,121928,121225,120186,119104,117841,116429,114743,113013,111292,106963,111818,110706,112145,116232,118671,120578,124186,127528,131771,133801,132743,132200,133180,134946,136479,139862,141625,142879,144090,144033,143949,145268,144252,141407,139990,139358,138616,134309,131439,128477,127581,124783,123180,121130,116695,113128,107879,103929,101436,99885,99857,99317,101708,102846,105520,105490,97852,95907,92795,90212,90601,90081,93691,94138,92979,91389,87329,84039,82231,78699,75380,71431,67908,65319,61135,58592,55217,50970,49057,262048
Jun-2033,124143,123490,123279,123380,123398,123292,122969,122432,121543,120616,119494,118242,116692,115084,113415,111909,107797,113306,112911,115440,119722,121514,124444,129375,132002,135046,136531,135266,134501,135253,136787,137884,141159,142885,143894,144894,144590,144352,145635,144494,141646,140054,139350,138608,134261,131420,128360,127396,124543,122974,120855,116492,112876,107598,103657,101194,99555,99483,98977,101385,102493,105133,105111,97488,95446,92293,89665,89909,89303,92792,93083,91853,90193,86044,82649,80674,77001,73620,69548,65941,63137,58848,56111,52521,48127,274979
Jun-2034,124665,123986,123787,123930,124011,123988,123821,123471,122746,121971,121000,119891,118498,117029,115483,114026,112732,109292,115487,116204,118938,122573,125378,129627,133851,135281,137784,139047,137592,136575,137119,138188,139192,142434,143912,144714,145446,144990,144722,145880,144730,141713,140036,139337,138547,134223,131288,128168,127146,124335,122696,120645,116233,112574,107310,103408,100855,99181,99144,98670,101039,102121,104747,104705,97018,94935,91739,88991,89138,88457,91761,91964,90653,88870,84627,81092,78941,75206,71688,67541,63747,60781,56367,53382,49601,285561
Jun-2035,125239,124509,124286,124440,124561,124601,124518,124323,123783,123172,122351,121393,120141,118829,117422,116087,114843,114219,111505,118748,119703,121794,126449,130560,134095,137134,138024,140305,141369,139687,138441,138542,139494,140476,143473,144740,145279,145840,145355,144968,146120,144791,141696,140014,139271,138495,134070,131080,127910,126928,124054,122480,120373,115923,112269,107050,103063,100474,98844,98838,98341,100674,101750,104335,104188,96500,94366,91053,88239,88301,87484,90668,90768,89326,87410,83042,79358,77111,73237,69627,65300,61377,58224,53637,50425,296170
Jun-2036,125889,125088,124812,124942,125074,125153,125132,125021,124634,124205,123550,122742,121639,120468,119217,118021,116897,116326,116384,114805,122232,122564,125675,131649,135026,137371,139879,140551,142635,143461,141572,139861,139869,140776,141528,144316,145319,145686,146204,145595,145210,146182,144766,141674,139940,139215,138327,133843,130806,127686,126637,123838,122203,120052,115607,111991,106689,102673,100129,98539,98509,97993,100312,101352,103811,103616,95922,93664,90288,87419,87333,86451,89498,89447,87865,85778,81275,77528,75101,71138,67323,62881,58805,55411,50675,306164
Jun-2037,126619,125741,125393,125473,125577,125669,125685,125638,125332,125058,124581,123941,122984,121963,120852,119812,118826,118377,118469,119628,118304,125082,126452,130883,136133,138305,140114,142410,142889,144732,145340,143006,141187,141171,141825,142383,144905,145738,146062,146443,145834,145275,146161,144736,141600,139879,139044,138083,133553,130569,127389,126412,123562,121878,119724,115323,111610,106284,102322,99815,98212,98162,97649,99924,100849,103236,102985,95210,92881,89454,86469,86305,85344,88204,87990,86227,83953,79407,75515,72958,68791,64834,60251,55974,52358,315068
Jun-2038,127435,126475,126048,126057,126113,126175,126203,126193,125951,125757,125435,124970,124180,123304,122344,121444,120611,120299,120497,121685,123103,121165,128963,131667,135374,139429,141051,142643,144750,144992,146614,146763,144349,142491,142238,142678,142984,145335,146123,146314,146681,145894,145259,146136,144656,141540,139704,138797,137777,133301,130262,127161,126127,123236,121547,119432,114934,111182,105916,102004,99479,97869,97817,97280,99429,100293,102604,102212,94415,92028,88488,85461,85205,84119,86773,86355,84397,82030,77351,73368,70560,66254,62129,57356,52901,324292
Jun-2039,128319,127290,126783,126715,126696,126712,126711,126713,126507,126377,126136,125824,125208,124496,123682,122932,122238,122082,122396,123686,125144,125944,125050,134177,136165,138679,142192,143580,144981,146855,146880,148041,148098,145668,143555,143107,143278,143425,145729,146384,146563,146742,145874,145238,146056,144591,141363,139452,138488,137511,132975,130023,126873,125793,122904,121250,119029,114495,110792,105582,101663,99127,97527,97450,96807,98884,99682,101831,101352,93548,91039,87462,84382,83984,82764,85169,84532,82466,79910,75162,70965,67968,63500,59150,54217,332765
Jun-2040,129254,128176,127601,127453,127357,127298,127251,127224,127028,126936,126756,126525,126061,125526,124872,124268,123726,123707,124160,125560,127131,127974,129818,130258,138675,139477,141447,144740,145919,147084,148746,148310,149379,149412,146745,144424,143722,143717,143832,146000,146640,146633,146718,145851,145164,145995,144407,141110,139138,138220,137171,132720,129721,126533,125452,122607,120844,118574,114093,110436,105225,101305,98777,97161,96978,96283,98285,98935,100972,100418,92546,89988,86362,83183,82635,81241,83375,82604,80340,77649,72707,68366,65153,60466,55920,341266
Jun-2041,130223,129114,128486,128273,128098,127960,127839,127765,127542,127460,127319,127147,126760,126378,125900,125456,125055,125191,125771,127302,128992,129949,131837,135027,134752,141988,142254,144000,147097,148024,148971,150175,149652,150698,150480,147619,145038,144174,144122,144114,146264,146720,146620,146694,145777,145106,145814,144147,140793,138866,137875,136905,132405,129370,126187,125145,122199,120387,118157,113725,110055,104851,100948,98405,96692,96455,95705,97549,98101,100037,99338,91480,88862,85142,81855,81119,79541,81481,80481,78074,75118,70054,65542,62052,57175,350187
Jun-2042,131208,130082,129424,129159,128920,128704,128504,128357,128085,127978,127843,127712,127383,127078,126752,126483,126245,126519,127238,128894,130721,131800,133802,137039,139520,138059,144767,144816,146362,149215,149912,150396,151518,150973,151768,151348,148240,145489,144593,144401,144389,146349,146715,146602,146618,145718,144928,145552,143821,140519,138516,137607,136574,132036,129012,125877,124728,121738,119965,117778,113333,109655,104478,100568,97929,96172,95878,94992,96730,97198,98960,98192,90337,87612,83790,80365,79423,77745,79395,78217,75535,72384,67170,62430,58687,359113
Jun-2043,132205,131067,130392,130098,129806,129524,129248,129024,128680,128521,128364,128237,127951,127701,127453,127334,127269,127706,128553,130343,132305,133517,135645,138998,141525,142828,140832,147333,147184,148485,151115,151340,151737,152840,152046,152639,151959,148696,145905,144884,144676,144485,146351,146705,146535,146560,145540,144672,145228,143539,140169,138243,137274,136192,131663,128691,125454,124258,121314,119579,117370,112920,109258,104080,100079,97401,95597,95167,94200,95842,96155,97816,96964,89068,86226,82270,78696,77632,75766,77171,75682,72790,69410,63995,59053,368318
Jun-2044,133193,132064,131375,131067,130746,130413,130067,129769,129347,129118,128909,128761,128478,128271,128076,128037,128119,128731,129731,131639,133744,135095,137353,140837,143478,144828,145604,143388,149704,149315,150392,152551,152681,153059,153911,152918,153250,152405,149120,146196,145169,144773,144498,146347,146642,146484,146379,145282,144354,144948,143180,139896,137906,136888,135805,131326,128255,124978,123822,120926,119166,116942,112510,108835,103573,99543,96820,94891,94375,93339,94815,95046,96591,95603,87662,84667,80569,76933,75658,73654,74680,72942,69808,66132,60544,376733
Jun-2045,134177,133050,132370,132052,131715,131351,130959,130590,130095,129788,129508,129309,129001,128799,128648,128659,128822,129582,130746,132804,135034,136525,138925,142538,145312,146779,147599,148164,145753,151838,151228,151834,153901,154005,154127,154784,153534,153693,152821,149411,146478,145275,144786,144503,146292,146596,146311,146121,144960,144080,144591,142901,139557,137516,136498,135455,130874,127763,124539,123426,120511,118731,116518,112075,108299,103015,98951,96105,94105,93516,92340,93723,93859,95235,94098,86082,82921,78773,74987,73555,71284,71986,69962,66517,62573,385485
Jun-2046,135162,134032,133356,133046,132700,132322,131896,131484,130915,130537,130181,129908,129550,129325,129177,129232,129445,130286,131593,133810,136195,137809,140346,144107,147008,148607,149547,150157,150532,147880,153752,152676,153189,155233,155073,154998,155397,153983,154109,153102,149697,146580,145296,144792,144458,146253,146428,146059,145797,144684,143729,144315,142557,139163,137119,136145,134987,130363,127308,124138,123002,120077,118301,116068,111522,107710,102401,98221,95308,93249,92521,91283,92554,92541,93733,92403,84312,81078,76788,72913,71196,68722,69057,66676,62945,395089
Jun-2047,136153,135018,134335,134031,133691,133305,132868,132420,131808,131361,130931,130584,130152,129875,129705,129761,130018,130908,132291,134650,137197,138967,141627,145528,148574,150301,151373,152100,152522,152661,149790,155198,154035,154525,156311,155944,155610,155843,154401,154392,153384,149800,146597,145309,144745,144427,146093,146180,145742,145519,144332,143458,143972,142156,138765,136764,135672,134459,129891,126893,123708,122555,119646,117845,115497,110916,107066,101645,97409,94441,92260,91464,90149,91258,91085,92044,90505,82444,79042,74676,70585,68645,65937,65827,63107,403926
Jun-2048,137162,136005,135318,135009,134676,134296,133848,133394,132745,132255,131755,131336,130826,130475,130255,130291,130549,131483,132911,135343,138035,139966,142783,146807,149992,151865,153065,153924,154463,154646,154569,151238,156555,155376,155606,157189,156553,156055,156258,154686,154673,153476,149817,146610,145269,144717,144276,145850,145867,145471,145165,144059,143121,143573,141752,138410,136289,135142,133969,129459,126449,123253,122112,119187,117266,114873,110252,106275,100804,96526,93440,91212,90329,88891,89824,89448,90152,88504,80379,76876,72304,68066,65869,62861,62318,411874
Jun-2049,138194,137013,136303,135992,135652,135279,134838,134374,133720,133193,132650,132161,131578,131153,130855,130843,131079,132015,133483,135959,138728,140803,143781,147963,151270,153282,154628,155614,156284,156586,156549,156009,152597,157896,156461,156489,157802,156996,156471,156540,154969,154765,153487,149827,146571,145246,144564,144044,145545,145601,145124,144890,143719,142728,143168,141390,137933,135754,134650,133518,128995,125981,122806,121645,118604,116635,114189,109439,105397,99892,95506,92377,90086,89071,87499,88211,87614,88156,86293,78178,74441,69733,65326,62806,59520,418088
Jun-2050,139249,138042,137308,136975,136635,136256,135822,135362,134698,134167,133587,133057,132404,131903,131534,131444,131632,132546,134014,136527,139342,141496,144618,148962,152424,154559,156043,157175,157972,158404,158487,157983,157363,153938,158977,157346,157109,158249,157410,156748,156820,155063,154773,153488,149785,146548,145098,144332,143750,145284,145258,144856,144549,143323,142330,142806,140904,137397,135256,134200,133038,128508,125521,122332,121047,117969,115945,113351,108538,104444,98838,94421,91238,88836,87680,85931,86407,85679,85954,83937,75708,71804,66938,62303,59475,420815
Jun-2051,140335,139095,138333,137980,137615,137236,136797,136347,135686,135146,134563,133995,133299,132732,132283,132121,132233,133100,134543,137057,139911,142113,145315,149801,153426,155713,157321,158589,159531,160088,160302,159914,159331,158698,155022,159858,157967,157561,158668,157687,157028,156910,155070,154775,153437,149762,146399,144871,144037,143499,144948,144996,144522,144152,142925,141974,142321,140355,136897,134801,133717,132530,128031,125032,121731,120397,117274,115095,112419,107562,103343,97719,93262,89974,87452,86116,84175,84503,83544,83607,81289,73032,68937,63852,59016,422890
Jun-2052,141442,140177,139384,139004,138619,138214,137775,137322,136670,136133,135541,134970,134237,133626,133114,132873,132912,133704,135096,137583,140445,142684,145935,150504,154269,156717,158478,159867,160945,161646,161981,161722,161259,160664,159774,155907,160473,158421,157982,158949,157965,157119,156914,155073,154723,153407,149613,146168,144581,143783,143172,144692,144666,144131,143749,142569,141495,141771,139845,136435,134315,133207,132030,127526,124413,121078,119687,116420,114152,111412,106432,102175,96520,91977,88575,85894,84362,82325,82401,81269,80972,78423,70120,65767,60496,424023
Jun-2053,142565,141282,140461,140053,139642,139215,138751,138299,137641,137119,136528,135948,135209,134563,134007,133702,133663,134386,135696,138135,140970,143222,146510,151126,154975,157564,159483,161026,162226,163059,163537,163394,163062,162588,161735,160651,156530,160922,158844,158266,159230,158053,157125,156913,155021,154691,153246,149381,145874,144337,143455,142924,144369,144282,143737,143390,142086,140951,141259,139376,135944,133803,132708,131504,126891,123742,120365,118814,115472,113132,110248,105232,100924,95191,90552,87001,84150,82512,80284,80160,78714,78118,75304,66903,62321,426178
Jun-2054,143684,142400,141564,141127,140688,140235,139752,139275,138618,138087,137514,136934,136187,135535,134944,134596,134494,135137,136375,138732,141524,143748,147050,151708,155603,158274,160334,162035,163386,164340,164949,164947,164729,164388,163653,162607,161264,156985,161341,159130,158548,159320,158055,157126,156858,154991,154529,153004,149084,145628,144015,143207,142610,143990,143894,143388,142908,141541,140444,140792,138875,135427,133299,132180,130843,126202,123009,119489,117849,114445,111954,109011,103946,99538,93719,88949,85237,82309,80469,78105,77642,75948,75015,71857,63405,429672
Jun-2055,144796,143516,142679,142230,141759,141279,140768,140275,139592,139064,138482,137921,137172,136515,135914,135532,135388,135968,137121,139407,142123,144305,147581,152253,156191,158908,161050,162890,164398,165502,166231,166355,166279,166051,165448,164520,163216,161710,157411,161621,159416,158643,159323,158051,157069,156826,154829,154283,152696,148835,145302,143773,142893,142240,143607,143547,142913,142360,141036,139980,140293,138347,134918,132766,131517,130128,125450,122112,118519,116803,113259,110702,107686,102523,98003,92063,87152,83376,80278,78292,75658,74917,72938,71587,68109,433770
Jun-2056,145878,144626,143792,143342,142860,142348,141811,141290,140591,140036,139455,138890,138157,137497,136895,136502,136322,136863,137949,140148,142798,144908,148142,152791,156743,159502,161690,163611,165256,166515,167392,167635,167686,167601,167106,166308,165122,163658,162128,157701,161904,159511,158650,159321,157993,157037,156658,154587,153970,152438,148508,145057,143466,142523,141867,143270,143076,142373,141851,140573,139486,139764,137826,134382,132099,130800,129352,124531,121119,117468,115597,111996,109360,106219,100949,96276,90206,85256,81322,78112,75846,73009,71953,69612,67858,441866
Jun-2057,146917,145706,144899,144453,143968,143446,142878,142332,141603,141036,140429,139861,139126,138482,137876,137483,137290,137797,138837,140970,143539,145584,148749,153358,157286,160063,162291,164255,165981,167376,168406,168793,168965,169007,168655,167964,166904,165559,164074,162407,157990,161994,159517,158653,159264,157960,156872,156408,154276,153709,152101,148264,144746,143101,142149,141538,142806,142542,141870,141386,140078,138964,139241,137279,133709,131379,130025,128405,123517,120048,116256,114312,110645,107873,104593,99176,94338,88248,83163,79134,75678,73199,70126,68676,65993,449061
Jun-2058,147917,146741,145976,145557,145077,144552,143974,143399,142643,142047,141427,140833,140094,139450,138860,138464,138271,138765,139767,141849,144361,146326,149428,153971,157859,160612,162856,164863,166632,168105,169269,169807,170124,170284,170058,169509,168557,167333,165968,164347,162688,158086,161996,159519,158599,159233,157792,156622,156096,154017,153368,151851,147950,144380,142734,141820,141085,142275,142045,141409,140888,139555,138452,138696,136595,132982,130598,129076,127361,122422,118810,114967,112937,109148,106229,102763,97185,92298,86085,80931,76675,73044,70317,66941,65110,453884
Jun-2059,148863,147739,147007,146633,146177,145658,145079,144492,143708,143087,142436,141831,141065,140418,139828,139447,139250,139745,140726,142771,145238,147149,150173,154655,158480,161191,163412,165434,167245,168762,170000,170671,171137,171444,171333,170909,170098,168985,167738,166235,164625,162774,158097,161992,159464,158570,159068,157540,156308,155835,153678,153117,151527,147578,144008,142413,141367,140568,141785,141592,140919,140365,139040,137912,138007,135854,132195,129645,128027,126232,121159,117496,113586,111412,107490,104377,100710,95088,90043,83782,78423,74014,70177,67132,63475,457396
Jun-2060,149758,148683,148003,147663,147250,146754,146181,145597,144801,144152,143476,142842,142061,141385,140794,140413,140232,140722,141699,143723,146159,148026,150998,155407,159169,161818,163996,165997,167819,169378,170662,171405,172003,172457,172490,172181,171496,170520,169385,167999,166508,164707,162775,158104,161933,159434,158410,158815,157222,156047,155493,153428,152794,151147,147205,143686,141966,140851,140088,141338,141107,140401,139849,138499,137230,137265,135053,131233,128592,126895,124933,119818,116086,112057,109723,105622,102295,98547,92773,87639,81192,75707,71117,67005,63667,458977
Jun-2061,150601,149577,148942,148658,148277,147827,147274,146699,145903,145243,144539,143880,143071,142381,141760,141379,141198,141706,142668,144686,147108,148945,151877,156236,159927,162513,164631,166586,168392,169956,171283,172069,172739,173325,173503,173337,172763,171915,170918,169642,168268,166583,164700,162771,158052,161901,159272,158163,158498,156960,155705,155240,153107,152410,150762,146878,143237,141453,140371,139655,140859,140595,139892,139305,137816,136495,136460,134076,130171,127456,125591,123553,118382,114525,110362,107820,103524,100104,96156,90305,84936,78387,72751,67912,63554,460470
Jun-2062,151403,150419,149836,149597,149272,148851,148346,147790,147003,146344,145628,144941,144107,143390,142756,142343,142161,142672,143645,145645,148068,149894,152796,157120,160759,163276,165331,167229,168984,170534,171867,172692,173406,174062,174373,174350,173917,173180,172311,171173,169906,168338,166574,164691,162710,158028,161736,159025,157849,158237,156615,155452,154916,152725,152024,150428,146422,142722,140977,139937,139188,140354,140091,139356,138621,137080,135699,135474,132996,129027,126148,124206,122075,116790,112798,108452,105684,101314,97682,93608,87529,82010,75335,69482,64423,461610
Jun-2063,152166,151221,150676,150490,150210,149842,149369,148859,148092,147443,146728,146030,145164,144426,143762,143339,143124,143635,144603,146612,149026,150852,153747,158042,161649,164114,166100,167933,169633,171132,172448,173279,174032,174732,175109,175222,174929,174333,173574,172562,171432,169973,168323,166559,164624,162679,157869,161481,158713,157590,157894,156363,155127,154529,152339,151689,149963,145902,142244,140546,139471,138696,139854,139560,138677,137884,136282,134722,134386,131830,127706,124758,122725,120438,115031,110850,106309,103433,98869,95104,90742,84522,78825,71957,65921,463356
Jun-2064,152901,151982,151476,151328,151100,150782,150358,149882,149157,148531,147826,147128,146251,145480,144796,144342,144119,144597,145558,147561,149988,151811,154704,158996,162575,165008,166944,168707,170343,171785,173047,173863,174621,175361,175781,175959,175800,175343,174726,173823,172821,171491,169955,168303,166488,164588,162510,157624,161161,158456,157253,157639,156037,154741,154141,152005,151222,149428,145417,141810,140084,138977,138210,139329,138887,137946,137084,135305,133645,133213,130487,126305,123272,121085,118628,113047,108667,104052,100946,96265,92201,87637,81249,75298,68279,466283
Jun-2065,153619,152718,152235,152127,151938,151669,151297,150871,150180,149594,148913,148225,147348,146565,145850,145376,145121,145591,146511,148507,150935,152769,155666,159955,163530,165937,167842,169556,171122,172499,173705,174467,175209,175953,176413,176630,176539,176214,175734,174975,174079,172878,171467,169933,168229,166444,164416,162253,157317,160896,158116,157005,157314,155652,154353,153807,151539,150685,148927,144977,141347,139594,138490,137699,138663,138160,137153,136102,134226,132484,131861,129060,124806,121625,119271,116587,110821,106365,101554,98295,93336,89054,84256,77628,71462,471132
Jun-2066,154322,153435,152970,152887,152736,152506,152182,151808,151167,150617,149975,149311,148442,147660,146933,146427,146153,146592,147497,149449,151876,153717,156625,160922,164495,166897,168776,170458,171976,173285,174423,175128,175817,176544,177007,177268,177212,176953,176606,175981,175228,174134,172850,171441,169853,168186,166265,164154,161932,157064,160551,157867,156683,156926,155263,154016,153338,151002,150185,148476,144506,140855,139114,137979,137046,137943,137370,136177,135017,133061,131142,130425,127532,123146,119806,117225,114298,108476,103819,98896,95312,90161,85629,80513,73683,478556
