,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  85 and over ;
Jun-2028,20969,21017,21145,21244,21375,21451,21496,21491,21462,21430,21363,20679,22058,21605,21793,22146,22530,22460,23126,23526,24021,24103,23532,23244,23217,22936,22940,23306,23500,23623,23648,23693,24012,24510,24252,24205,24152,24314,24423,24234,24123,24107,24314,23954,24025,23386,22711,22099,21244,20730,20315,20472,20434,20617,20944,21616,22661,23211,22343,22030,21653,20952,21293,21323,21989,22161,21970,22215,21508,20961,20242,19812,19270,18511,18024,17667,16955,16684,16041,15252,14759,14958,12040,10952,9736,53905
Jun-2029,21023,21073,21212,21315,21455,21536,21598,21599,21601,21580,21527,21451,20769,22184,21746,21994,22444,22887,22937,23777,24052,24339,24347,23737,23370,23192,22942,23017,23356,23652,23801,23803,23847,24192,24728,24401,24325,24275,24393,24543,24303,24202,24107,24275,23950,24021,23370,22688,22045,21208,20707,20298,20428,20403,20551,20900,21568,22625,23137,22277,21951,21594,20865,21184,21216,21873,22035,21826,22036,21304,20777,20031,19600,19021,18225,17705,17331,16582,16255,15568,14745,14189,14308,11441,10326,55986
Jun-2030,21076,21126,21267,21380,21526,21616,21685,21702,21710,21719,21677,21615,21541,20902,22323,21949,22293,22803,23358,23592,24305,24371,24580,24533,23861,23343,23192,23015,23066,23510,23828,23951,23953,24034,24414,24868,24526,24451,24354,24513,24616,24382,24205,24072,24270,23950,23999,23344,22631,22005,21184,20691,20257,20396,20339,20507,20858,21540,22557,23073,22197,21893,21503,20761,21080,21104,21752,21891,21654,21828,21119,20560,19820,19348,18729,17903,17370,16954,16159,15781,15054,14177,13576,13598,10789,58402
Jun-2031,21133,21179,21321,21436,21593,21686,21765,21788,21814,21831,21817,21765,21706,21675,21046,22523,22248,22651,23279,24003,24123,24624,24610,24763,24639,23831,23342,23260,23063,23218,23689,23976,24095,24136,24260,24558,24984,24655,24530,24475,24587,24700,24385,24172,24069,24270,23931,23967,23287,22589,21981,21168,20650,20227,20332,20297,20462,20835,21480,22498,22995,22141,21804,21394,20661,20971,20987,21612,21719,21455,21639,20901,20342,19567,19053,18402,17566,16993,16524,15690,15264,14477,13567,12907,12826,61002
Jun-2032,21191,21236,21374,21490,21649,21756,21836,21870,21900,21934,21931,21906,21857,21841,21819,21251,22821,22609,23126,23931,24525,24444,24862,24790,24866,24590,23827,23407,23300,23215,23398,23840,24119,24274,24360,24408,24677,25107,24738,24651,24550,24671,24707,24352,24172,24072,24251,23902,23903,23246,22564,21966,21126,20621,20167,20288,20256,20439,20780,21428,22425,22940,22050,21695,21291,20556,20856,20853,21443,21519,21272,21416,20683,20083,19269,18720,18058,17184,16563,16046,15177,14683,13856,12899,12175,65221
Jun-2033,21257,21294,21432,21544,21703,21811,21907,21942,21983,22022,22033,22019,21999,21992,21985,22024,21554,23178,23087,23777,24459,24836,24686,25041,24890,24813,24572,23891,23446,23445,23392,23549,23985,24298,24494,24506,24531,24802,25182,24863,24726,24634,24678,24675,24353,24177,24054,24221,23841,23856,23220,22547,21922,21096,20558,20127,20245,20236,20384,20734,21363,22375,22851,21942,21592,21182,20447,20723,20689,21247,21338,21055,21192,20420,19777,18933,18371,17670,16750,16086,15524,14601,14057,13176,12169,68419
Jun-2034,21331,21360,21489,21602,21757,21865,21962,22012,22056,22105,22124,22122,22112,22135,22138,22191,22327,21916,23652,23742,24305,24777,25067,24869,25138,24835,24790,24623,23927,23590,23616,23542,23693,24166,24517,24635,24626,24660,24879,25301,24940,24811,24640,24648,24678,24359,24162,24027,24159,23797,23825,23201,22501,21892,21033,20517,20088,20222,20183,20337,20674,21321,22291,22741,21838,21484,21068,20320,20562,20498,21070,21123,20838,20925,20112,19435,18582,17978,17226,16268,15564,14936,13980,13371,12434,71243
Jun-2035,21416,21432,21555,21659,21816,21919,22016,22069,22126,22178,22207,22214,22215,22248,22280,22344,22494,22691,22399,24301,24271,24621,25015,25235,24970,25079,24810,24837,24645,24070,23761,23759,23686,23873,24386,24658,24753,24753,24741,25002,25373,25028,24817,24609,24652,24685,24345,24138,23968,24115,23769,23803,23156,22469,21827,20994,20476,20071,20168,20138,20278,20636,21246,22187,22638,21729,21370,20935,20165,20374,20327,20859,20908,20579,20610,19764,19075,18185,17527,16733,15741,14976,14302,13300,12622,73959
Jun-2036,21509,21518,21625,21724,21873,21977,22070,22122,22183,22249,22280,22297,22308,22354,22395,22486,22648,22856,23174,23059,24827,24591,24856,25188,25322,24916,25052,24855,24854,24778,24241,23904,23898,23865,24092,24529,24776,24876,24833,24867,25077,25455,25037,24786,24612,24660,24673,24321,24081,23926,24087,23749,23751,23123,22401,21785,20954,20457,20022,20123,20082,20240,20567,21152,22088,22530,21615,21238,20775,19984,20206,20123,20646,20650,20273,20256,19399,18668,17731,17028,16194,15147,14343,13607,12557,76491
Jun-2037,21613,21610,21712,21793,21936,22034,22129,22176,22235,22306,22350,22371,22392,22447,22501,22601,22791,23011,23340,23835,23596,25142,24829,25031,25282,25252,24892,25093,24870,24983,24938,24382,24043,24073,24084,24233,24647,24898,24953,24958,24945,25163,25458,25007,24789,24621,24648,24651,24262,24040,23901,24070,23700,23714,23055,22358,21743,20936,20406,19981,20066,20048,20172,20478,21063,21985,22415,21481,21077,20589,19820,20004,19918,20391,20342,19928,19885,18987,18203,17227,16481,15587,14507,13649,12850,78623
Jun-2038,21722,21712,21803,21879,22003,22097,22184,22233,22288,22357,22409,22442,22465,22531,22595,22709,22906,23157,23497,24003,24369,23923,25371,25008,25124,25220,25215,24938,25104,24996,25139,25071,24517,24217,24288,24224,24350,24771,24974,25074,25035,25034,25169,25425,25014,24798,24609,24628,24595,24223,24017,23884,24022,23664,23641,23011,22316,21724,20886,20363,19928,20031,19982,20086,20395,20969,21875,22280,21319,20889,20420,19625,19804,19671,20088,19996,19565,19464,18516,17687,16676,15864,14933,13804,12891,80717
Jun-2039,21836,21822,21903,21969,22090,22161,22247,22289,22345,22410,22458,22501,22535,22605,22678,22804,23017,23272,23644,24164,24538,24693,24171,25536,25103,25060,25189,25249,24952,25227,25150,25267,25196,24689,24431,24424,24341,24474,24848,25094,25148,25123,25042,25136,25429,25024,24787,24589,24572,24556,24201,24004,23837,23987,23593,23595,22968,22296,21671,20843,20308,19897,19964,19897,20004,20307,20868,21747,22116,21130,20720,20218,19431,19561,19381,19747,19632,19153,18983,17993,17122,16054,15200,14214,13037,82546
Jun-2040,21945,21933,22013,22066,22178,22248,22311,22350,22402,22467,22511,22549,22595,22676,22753,22887,23112,23384,23760,24312,24701,24863,24935,24360,25618,25042,25027,25228,25252,25079,25379,25276,25390,25360,24903,24566,24537,24464,24550,24969,25167,25232,25129,25011,25140,25437,25015,24768,24534,24535,24536,24187,23961,23805,23915,23546,23549,22946,22242,21626,20788,20276,19834,19878,19817,19917,20213,20749,21589,21923,20960,20517,20015,19195,19272,19053,19391,19220,18682,18447,17418,16485,15382,14470,13428,84235
Jun-2041,22056,22042,22123,22175,22275,22336,22396,22414,22462,22524,22567,22602,22645,22735,22826,22962,23196,23479,23874,24430,24850,25024,25105,25112,24465,25545,25012,25067,25236,25368,25232,25502,25397,25550,25568,25037,24678,24656,24538,24670,25042,25251,25236,25098,25016,25148,25425,24996,24712,24497,24515,24526,24142,23930,23737,23870,23501,23523,22891,22195,21568,20755,20211,19752,19799,19733,19824,20099,20602,21403,21752,20756,20314,19772,18913,18947,18708,18986,18748,18158,17860,16772,15799,14645,13673,86028
Jun-2042,22158,22153,22232,22286,22382,22431,22483,22496,22525,22583,22625,22657,22696,22786,22882,23035,23271,23563,23969,24545,24968,25176,25266,25282,25208,24416,25504,25052,25074,25358,25512,25359,25620,25557,25754,25696,25150,24797,24728,24660,24743,25128,25254,25201,25102,25026,25136,25403,24941,24675,24477,24506,24485,24111,23862,23694,23825,23479,23463,22844,22136,21536,20689,20127,19675,19714,19643,19713,19958,20428,21237,21543,20552,20069,19482,18596,18606,18318,18522,18222,17582,17198,16073,15044,13839,87794
Jun-2043,22251,22254,22342,22393,22493,22537,22576,22583,22606,22645,22683,22714,22751,22836,22935,23091,23345,23638,24054,24642,25085,25295,25417,25442,25376,25148,24395,25535,25061,25195,25507,25630,25479,25777,25760,25879,25802,25267,24868,24845,24733,24828,25133,25219,25204,25111,25017,25115,25344,24904,24657,24467,24465,24457,24043,23822,23651,23803,23422,23411,22783,22102,21469,20604,20049,19594,19623,19534,19576,19791,20273,21035,21336,20305,19778,19155,18264,18219,17870,18004,17646,16934,16485,15308,14218,89472
Jun-2044,22337,22347,22443,22503,22599,22646,22682,22676,22692,22725,22744,22772,22807,22891,22984,23144,23400,23712,24130,24729,25183,25411,25537,25590,25535,25315,25120,24444,25534,25183,25344,25628,25743,25638,25980,25885,25982,25914,25337,24984,24914,24817,24832,25097,25220,25212,25101,25000,25059,25305,24888,24648,24426,24439,24393,24004,23782,23632,23744,23374,23345,22748,22032,21382,20524,19966,19507,19515,19398,19411,19644,20083,20834,21084,20011,19449,18813,17885,17776,17371,17437,16995,16233,15701,14472,91279
Jun-2045,22410,22432,22536,22602,22709,22752,22791,22781,22783,22811,22824,22834,22865,22947,23038,23193,23453,23767,24203,24806,25271,25510,25653,25712,25682,25472,25286,25162,24463,25647,25334,25466,25746,25894,25842,26101,25987,26093,25977,25453,25054,24996,24821,24799,25100,25227,25201,25082,24945,25021,25284,24882,24609,24398,24374,24355,23964,23765,23577,23695,23310,23305,22677,21939,21299,20440,19876,19402,19379,19237,19265,19464,19895,20588,20782,19680,19104,18424,17452,17281,16824,16797,16294,15465,14843,93102
Jun-2046,22479,22507,22621,22695,22808,22862,22895,22889,22888,22901,22909,22912,22925,23004,23095,23247,23503,23822,24259,24879,25347,25599,25752,25827,25803,25618,25441,25328,25171,24592,25791,25457,25583,25901,26092,25966,26201,26095,26155,26090,25522,25135,24997,24788,24802,25108,25216,25181,25027,24909,25004,25275,24842,24585,24335,24337,24318,23949,23711,23532,23632,23274,23229,22584,21854,21211,20349,19769,19270,19218,19094,19085,19284,19664,20295,20439,19332,18711,17978,16969,16738,16208,16105,15524,14623,95047
Jun-2047,22541,22574,22697,22780,22901,22961,23006,22992,22996,23006,22998,22996,23003,23065,23151,23303,23556,23870,24314,24936,25421,25675,25839,25923,25916,25737,25587,25482,25336,25295,24750,25906,25575,25739,26102,26209,26069,26309,26156,26267,26154,25603,25136,24962,24791,24810,25096,25194,25123,24991,24892,24997,25232,24817,24522,24297,24300,24305,23897,23666,23472,23596,23199,23131,22496,21766,21116,20241,19634,19112,19076,18918,18907,19061,19387,19961,20080,18936,18260,17482,16439,16127,15544,15347,14682,96573
Jun-2048,22603,22638,22763,22855,22984,23052,23103,23103,23098,23114,23101,23084,23086,23142,23212,23358,23613,23922,24362,24990,25478,25749,25916,26010,26011,25850,25704,25627,25489,25460,25447,24879,26017,25732,25940,26223,26306,26180,26368,26267,26330,26232,25601,25100,24964,24799,24800,25075,25137,25086,24974,24887,24956,25204,24755,24485,24260,24288,24256,23853,23606,23439,23523,23103,23041,22404,21670,21003,20105,19472,18973,18902,18744,18689,18793,19072,19612,19671,18479,17757,16938,15841,15468,14814,14517,97965
Jun-2049,22665,22700,22827,22922,23060,23136,23194,23199,23208,23213,23210,23188,23175,23224,23288,23420,23666,23979,24414,25038,25531,25806,25989,26085,26097,25944,25818,25744,25632,25612,25613,25571,25004,26168,25934,26061,26323,26412,26241,26478,26330,26406,26227,25562,25101,24970,24787,24779,25019,25098,25067,24967,24850,24930,25140,24720,24449,24248,24238,24215,23795,23575,23369,23426,23013,22945,22305,21554,20862,19940,19330,18801,18727,18530,18426,18489,18742,19215,19200,17973,17207,16323,15196,14744,14015,99024
Jun-2050,22727,22761,22889,22986,23127,23211,23277,23291,23304,23324,23308,23296,23277,23313,23369,23495,23727,24032,24470,25088,25578,25858,26046,26157,26172,26029,25911,25857,25749,25755,25765,25737,25689,25166,26366,26057,26160,26431,26467,26351,26540,26407,26399,26184,25563,25107,24958,24765,24722,24983,25080,25061,24928,24827,24867,25102,24687,24438,24200,24197,24159,23765,23507,23275,23336,22921,22840,22186,21410,20692,19797,19155,18630,18512,18271,18127,18170,18364,18757,18677,17417,16584,15660,14487,13951,99463
Jun-2051,22791,22824,22951,23048,23191,23278,23355,23374,23396,23419,23418,23394,23385,23417,23460,23577,23804,24093,24522,25144,25628,25904,26097,26213,26242,26102,25997,25951,25860,25872,25906,25887,25856,25847,25373,26483,26158,26268,26488,26575,26414,26616,26400,26355,26180,25570,25094,24936,24707,24684,24966,25073,25021,24904,24766,24831,25065,24679,24390,24159,24141,24131,23695,23414,23187,23243,22819,22716,22038,21236,20543,19619,18982,18418,18255,17977,17815,17804,17929,18247,18102,16789,15913,14930,13710,99736
Jun-2052,22861,22889,23014,23110,23253,23342,23422,23451,23478,23510,23513,23503,23482,23522,23563,23667,23885,24171,24583,25195,25683,25953,26141,26260,26297,26171,26068,26035,25955,25982,26024,26029,26005,26013,26051,25500,26579,26266,26325,26597,26634,26491,26608,26355,26351,26184,25556,25071,24879,24670,24666,24959,25032,24997,24843,24730,24796,25055,24633,24350,24102,24114,24063,23602,23328,23094,23141,22699,22564,21861,21084,20360,19443,18767,18163,17961,17668,17458,17383,17444,17688,17452,16112,15175,14132,99705
Jun-2053,22932,22959,23081,23173,23315,23404,23485,23517,23554,23592,23603,23596,23590,23620,23667,23770,23974,24249,24660,25254,25733,26007,26189,26304,26342,26225,26136,26106,26037,26078,26133,26147,26146,26162,26216,26174,25604,26684,26325,26435,26659,26708,26484,26563,26350,26354,26167,25533,25014,24840,24653,24659,24919,25008,24934,24808,24695,24787,25006,24596,24295,24076,24047,23971,23516,23238,22996,23020,22548,22382,21707,20896,20178,19225,18507,17874,17653,17314,17045,16915,16912,17054,16751,15367,14367,100023
Jun-2054,23004,23032,23150,23240,23378,23466,23547,23580,23620,23669,23685,23687,23683,23728,23764,23873,24077,24340,24737,25330,25792,26055,26241,26350,26384,26268,26188,26173,26107,26159,26229,26254,26263,26304,26367,26340,26275,25717,26739,26435,26496,26735,26698,26438,26558,26352,26336,26140,25474,24974,24821,24645,24620,24895,24946,24899,24775,24687,24740,24966,24543,24270,24010,23956,23886,23428,23140,22876,22868,22367,22224,21514,20711,19953,18961,18212,17571,17302,16905,16585,16400,16309,16371,15980,14550,100505
Jun-2055,23077,23104,23224,23308,23446,23529,23608,23641,23683,23736,23761,23769,23774,23820,23872,23969,24179,24442,24827,25406,25865,26113,26287,26398,26428,26308,26230,26224,26173,26228,26310,26351,26371,26421,26510,26490,26441,26384,25779,26847,26496,26573,26726,26649,26434,26561,26333,26310,26077,25435,24955,24815,24605,24598,24835,24909,24865,24768,24641,24702,24909,24519,24203,23919,23874,23798,23330,23022,22728,22686,22211,22027,21323,20479,19680,18662,17904,17223,16896,16451,16081,15816,15657,15620,15134,101103
Jun-2056,23148,23178,23297,23384,23514,23597,23673,23702,23745,23798,23829,23843,23856,23912,23964,24076,24276,24543,24927,25496,25941,26185,26344,26442,26474,26350,26269,26265,26222,26293,26380,26431,26468,26528,26626,26632,26592,26550,26444,25891,26906,26572,26564,26679,26642,26437,26542,26308,26247,26035,25417,24949,24774,24583,24538,24801,24875,24857,24723,24604,24648,24883,24456,24113,23837,23786,23701,23211,22873,22548,22528,22015,21830,21086,20200,19369,18347,17549,16823,16443,15952,15510,15187,14939,14795,102194
Jun-2057,23218,23247,23372,23456,23590,23665,23741,23766,23806,23860,23891,23911,23929,23994,24056,24169,24383,24640,25028,25595,26029,26259,26413,26499,26516,26393,26309,26302,26262,26342,26445,26501,26548,26626,26734,26749,26734,26702,26609,26557,25957,26980,26564,26517,26673,26642,26418,26515,26245,26204,26014,25411,24908,24750,24521,24503,24769,24867,24809,24686,24551,24623,24817,24367,24032,23751,23689,23582,23062,22695,22395,22332,21822,21587,20799,19883,19043,17986,17141,16374,15946,15386,14894,14492,14153,102886
Jun-2058,23283,23318,23440,23530,23664,23741,23809,23835,23871,23920,23953,23975,23997,24067,24138,24260,24475,24747,25124,25697,26126,26345,26486,26565,26570,26433,26350,26341,26298,26380,26493,26565,26616,26706,26831,26857,26851,26843,26762,26721,26620,26038,26968,26517,26512,26675,26622,26392,26450,26202,26183,26006,25370,24885,24687,24487,24471,24762,24820,24772,24633,24528,24557,24725,24284,23945,23657,23573,23433,22883,22542,22201,22139,21581,21294,20474,19550,18670,17570,16686,15882,15383,14776,14215,13731,102923
Jun-2059,23345,23383,23511,23600,23737,23816,23883,23903,23940,23985,24013,24036,24063,24133,24210,24343,24567,24839,25231,25791,26228,26442,26571,26636,26633,26485,26388,26381,26336,26416,26530,26613,26680,26772,26912,26954,26958,26963,26902,26875,26786,26699,26034,26918,26514,26513,26657,26592,26328,26407,26180,26175,25963,25346,24822,24653,24455,24463,24719,24782,24719,24609,24465,24468,24641,24198,23851,23542,23425,23254,22730,22350,22009,21896,21289,20962,20134,19169,18239,17105,16186,15322,14775,14104,13469,102551
Jun-2060,23406,23446,23577,23669,23807,23888,23959,23976,24007,24055,24079,24095,24123,24201,24277,24414,24649,24932,25323,25897,26323,26543,26666,26717,26701,26546,26439,26417,26375,26453,26565,26649,26728,26836,26978,27036,27056,27069,27021,27015,26938,26865,26692,25993,26912,26516,26496,26630,26527,26286,26385,26172,26131,25938,25282,24786,24619,24449,24420,24682,24730,24695,24546,24376,24387,24552,24104,23734,23393,23245,23101,22536,22160,21769,21602,20958,20614,19743,18728,17758,16594,15617,14719,14105,13366,101965
Jun-2061,23461,23507,23640,23736,23877,23958,24031,24052,24079,24122,24148,24163,24183,24260,24345,24482,24721,25013,25415,25989,26428,26637,26765,26809,26781,26612,26497,26467,26408,26491,26601,26683,26763,26883,27042,27101,27137,27166,27128,27134,27081,27016,26858,26645,25991,26912,26497,26471,26566,26483,26265,26377,26129,26105,25873,25249,24753,24613,24404,24385,24632,24707,24630,24457,24296,24302,24454,23990,23587,23214,23093,22906,22346,21922,21478,21266,20612,20214,19291,18235,17230,16014,15005,14053,13370,101329
Jun-2062,23514,23562,23701,23799,23945,24027,24103,24124,24155,24195,24215,24232,24252,24321,24404,24550,24789,25085,25497,26082,26518,26740,26858,26908,26870,26689,26561,26524,26456,26523,26638,26719,26797,26919,27088,27165,27203,27248,27225,27243,27198,27161,27008,26813,26642,25996,26893,26471,26407,26523,26460,26258,26333,26103,26038,25837,25217,24745,24568,24369,24335,24612,24642,24540,24377,24212,24206,24336,23843,23409,23063,22900,22716,22106,21632,21147,20915,20213,19751,18785,17695,16628,15389,14329,13322,100753
Jun-2063,23566,23613,23756,23861,24008,24096,24170,24196,24228,24270,24289,24298,24320,24391,24465,24609,24857,25153,25569,26164,26610,26830,26959,26996,26966,26775,26636,26586,26513,26570,26669,26754,26832,26953,27125,27209,27267,27314,27307,27339,27309,27278,27154,26962,26810,26646,25981,26865,26409,26365,26502,26451,26216,26306,26038,26003,25801,25210,24701,24533,24319,24314,24549,24553,24459,24294,24119,24090,24185,23664,23257,22871,22711,22475,21814,21301,20801,20513,19753,19234,18230,17080,15979,14699,13587,100198
Jun-2064,23616,23666,23807,23916,24070,24159,24239,24264,24300,24343,24364,24372,24385,24459,24536,24671,24917,25221,25637,26237,26695,26921,27048,27096,27052,26868,26719,26659,26572,26624,26715,26785,26867,26985,27159,27247,27311,27379,27373,27422,27404,27390,27271,27107,26958,26815,26630,25959,26800,26366,26344,26495,26407,26191,26241,26003,25967,25794,25164,24666,24482,24301,24253,24463,24473,24374,24201,24004,23940,24003,23513,23065,22683,22471,22182,21481,20954,20402,20047,19237,18667,17597,16417,15264,13941,99958
Jun-2065,23664,23717,23861,23966,24123,24221,24303,24333,24368,24415,24436,24448,24459,24525,24604,24742,24981,25282,25706,26304,26766,27006,27138,27183,27150,26953,26812,26740,26643,26682,26768,26829,26895,27021,27191,27280,27348,27423,27437,27488,27487,27484,27382,27225,27105,26962,26800,26606,25900,26756,26348,26338,26452,26381,26128,26206,25968,25960,25748,25129,24615,24461,24240,24166,24385,24388,24282,24087,23860,23760,23851,23320,22876,22445,22178,21846,21133,20556,19940,19526,18672,18021,16914,15685,14478,100100
Jun-2066,23716,23765,23912,24020,24174,24274,24364,24398,24437,24482,24509,24519,24536,24599,24671,24810,25051,25346,25767,26374,26835,27076,27221,27271,27235,27048,26894,26830,26723,26751,26824,26881,26939,27049,27225,27312,27382,27459,27481,27551,27553,27568,27475,27336,27222,27110,26947,26776,26545,25861,26737,26342,26296,26427,26316,26094,26171,25961,25914,25711,25076,24595,24399,24154,24088,24304,24296,24167,23941,23683,23611,23654,23132,22636,22154,21843,21494,20732,20094,19424,18954,18029,17324,16163,14881,100780
