Country,Adelaide,North Adelaide,Adelaide Hills,Aldgate - Stirling,Hahndorf - Echunga,Lobethal - Woodside,Mount Barker,Mount Barker Region,Nairne,Uraidla - Summertown,Burnside - Wattle Park,Glenside - Beaumont,Toorak Gardens,Athelstone,Paradise - Newton,Rostrevor - Magill,Norwood (SA),Payneham - Felixstow,St Peters - Marden,Nailsworth - Broadview,Prospect,Walkerville,Goodwood - Millswood,Unley - Parkside,Gawler - North,Gawler - South,Lewiston - Two Wells,Craigmore - Blakeview,Davoren Park,Elizabeth,Elizabeth East,Munno Para West - Angle Vale,One Tree Hill,Smithfield - Elizabeth North,Virginia - Waterloo Corner,Enfield - Blair Athol,Northgate - Oakden - Gilles Plains,Windsor Gardens,Dry Creek - North,Ingle Farm,Para Hills,Parafield,Parafield Gardens,Paralowie,Salisbury,Salisbury East,Salisbury North,Mawson Lakes - Globe Derby Park,Pooraka - Cavan,Golden Grove,Greenwith,Highbury - Dernancourt,Hope Valley - Modbury,Modbury Heights,Redwood Park,St Agnes - Ridgehaven,Brighton (SA),Glenelg (SA),Edwardstown,Hallett Cove,Marino - Seaview Downs,Mitchell Park,Morphettville,Sheidow Park - Trott Park,Warradale,Belair,Bellevue Heights,Blackwood,Colonel Light Gardens,Mitcham (SA),Panorama,Aberfoyle Park,Aldinga,Christie Downs,Christies Beach,Clarendon,Coromandel Valley,Flagstaff Hill,Hackham - Onkaparinga Hills,Hackham West - Huntfield Heights,Happy Valley,Happy Valley Reservoir,Lonsdale,McLaren Vale,Morphett Vale - East,Morphett Vale - West,Reynella,Seaford (SA),Willunga,Woodcroft,Beverley,Flinders Park,Henley Beach,Hindmarsh - Brompton,Royal Park - Hendon - Albert Park,Seaton - Grange,West Lakes,Woodville - Cheltenham,Dry Creek - South,Largs Bay - Semaphore,North Haven,Port Adelaide,The Parks,Torrens Island,Adelaide Airport,Fulham,Lockleys,Plympton,Richmond (SA),West Beach,Barossa - Angaston,Light,Lyndoch,Mallala,Nuriootpa,Tanunda,Clare,Gilbert Valley,Goyder,Wakefield - Barunga West,Jamestown,Peterborough - Mount Remarkable,Port Pirie,Port Pirie Region,Kadina,Moonta,Wallaroo,Yorke Peninsula - North,Yorke Peninsula - South,Ceduna,Eyre Peninsula,Kimba - Cleve - Franklin Harbour,Le Hunte - Elliston,Port Lincoln,West Coast (SA),Western,Whyalla,Whyalla - North,APY Lands,Coober Pedy,Quorn - Lake Gilles,Outback,Port Augusta,Roxby Downs,Goolwa - Port Elliot,Kangaroo Island,Strathalbyn,Strathalbyn Region,Victor Harbor,Yankalilla,Grant,Kingston - Robe,Millicent,Naracoorte,Naracoorte Region,Penola,Tatiara,Wattle Range,Mount Gambier - East,Mount Gambier - West,Barmera,Berri,Karoonda - Lameroo,Loxton,Loxton Region,Mannum,Murray Bridge,Murray Bridge Region,Renmark,Renmark Region,The Coorong,Waikerie,Migratory - Offshore - Shipping (SA),No Usual Address (SA)
Netherlands,28,11,43,103,21,47,97,28,25,32,35,18,46,37,77,68,29,35,38,10,28,22,51,54,34,83,24,51,51,57,73,26,12,59,18,38,82,55,0,77,51,0,38,35,77,64,57,15,23,35,35,44,91,102,66,68,61,61,34,50,56,69,45,21,130,26,46,71,45,56,22,54,75,63,91,15,31,57,45,49,99,0,0,39,56,65,60,130,20,68,16,26,42,34,28,33,77,36,0,50,36,30,16,0,0,9,24,44,37,14,28,30,17,16,19,14,6,25,20,46,21,29,36,28,16,26,18,19,15,3,25,5,3,61,3,0,101,0,0,4,7,5,37,4,116,29,32,55,101,55,29,9,45,20,0,17,20,19,82,103,21,19,11,11,0,49,76,20,15,19,31,25,0,15
Switzerland,5,8,7,6,0,3,5,4,0,5,16,14,9,4,3,11,10,8,7,6,3,0,6,22,3,0,3,0,0,0,0,0,3,0,0,9,5,4,0,0,3,0,4,0,5,4,0,4,0,3,0,3,7,0,5,4,7,20,0,6,0,0,8,4,6,3,8,11,4,3,4,5,3,0,3,3,4,3,4,3,10,0,0,0,4,3,0,11,0,0,0,4,3,3,0,7,3,3,0,9,0,5,3,0,0,0,6,9,4,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,4,0,0,5,0,0,0,0,3,0,0,5,0,0,4,11,3,3,3,0,0,0,0,0,3,8,5,0,0,0,3,0,0,4,0,0,0,0,0,0,0
Denmark,4,4,4,10,4,6,16,4,0,0,4,3,5,6,0,7,6,0,5,0,4,3,9,4,11,3,0,4,0,6,0,0,0,3,0,0,3,5,0,4,5,0,7,7,6,7,6,3,3,6,3,4,10,3,6,11,3,12,0,3,4,0,0,0,9,4,0,0,9,0,0,0,15,5,14,6,4,5,5,3,0,0,0,3,3,10,8,4,5,5,0,0,3,0,0,0,14,0,0,6,0,4,3,0,0,0,0,14,0,7,7,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,6,0,0,5,6,4,6,0,0,0,0,0,0,0,6,5,0,0,0,0,3,0,3,0,0,0,3,0,0,0
Faroe Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,3,6,8,4,0,0,9,3,0,5,3,3,6,4,4,3,4,0,4,3,9,0,0,0,0,4,0,3,5,0,3,4,0,8,0,4,4,7,0,12,3,0,0,0,5,8,3,3,0,3,0,4,3,12,8,5,5,4,0,3,0,0,6,0,5,0,0,3,12,5,0,0,5,7,0,0,5,5,0,6,7,0,0,5,3,0,9,7,0,0,0,3,0,6,5,0,0,4,0,3,3,0,0,0,0,0,3,4,8,0,3,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,3,0,4,4,9,0,3,0,0,6,0,3,10,18,0,0,0,0,0,0,0,0,0,3,0,0,0,4
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,9,0,0,6,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,7,0,10,3,5,4,7,3,0,4,0,5,5,4,0,4,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,4,4,0,4,0,4,0,5,0,0,3,0,0,0,0,4,3,0,4,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,15,3,5,7,0,0,0,0,5,5,8,4,8,3,5,5,3,0,10,3,0,0,7,7,0,4,0,0,0,0,5,3,0,4,0,0,4,3,0,3,0,0,0,0,0,5,0,4,0,6,3,8,0,0,0,0,19,13,3,14,10,4,7,3,0,0,5,9,3,7,6,3,8,3,5,6,4,10,0,0,3,0,0,5,3,0,3,11,3,0,0,3,18,4,0,8,11,3,0,14,17,0,0,0,0,0,4,4,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Aland Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,92,74,27,42,12,16,45,5,0,90,425,75,157,483,1557,1397,183,913,431,88,327,104,131,314,23,120,55,24,35,56,38,100,35,26,117,253,228,387,0,110,145,0,96,62,353,210,83,46,80,44,21,311,268,143,86,214,47,142,101,44,68,104,80,14,75,15,39,29,103,87,90,23,36,13,24,5,8,61,24,12,24,0,0,57,42,28,36,45,5,19,179,817,481,445,126,740,235,316,0,110,90,134,213,0,0,123,407,263,324,62,8,9,10,11,3,7,4,9,3,9,0,3,106,3,3,14,17,5,10,3,3,4,0,26,0,0,67,0,3,9,0,3,49,3,37,13,6,12,40,19,17,0,49,9,3,10,9,11,84,90,35,25,0,14,3,9,106,18,42,37,4,22,0,19
Malta,4,8,4,10,0,0,6,4,0,8,7,0,18,13,28,13,7,4,15,11,21,5,5,21,5,15,0,10,13,11,13,11,4,9,4,42,37,21,0,33,24,0,25,27,19,36,29,10,35,9,5,10,24,23,18,13,11,14,5,7,0,8,13,3,11,9,3,0,11,6,10,8,4,4,12,0,0,8,9,4,15,0,0,0,8,15,9,5,0,10,5,50,29,40,6,21,24,17,0,5,17,8,27,0,0,0,24,31,29,3,3,8,0,3,0,0,0,0,0,5,0,4,4,0,0,7,4,0,4,0,0,0,0,4,0,0,19,0,0,0,0,0,0,0,7,0,4,4,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0
Portugal,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,7,0,4,0,3,0,3,0,0,0,0,0,11,8,4,0,6,17,0,7,8,8,4,11,9,0,5,0,0,4,0,6,0,0,12,5,4,0,8,10,0,3,7,0,0,3,0,0,19,0,0,0,0,0,0,0,0,9,0,0,0,4,7,3,0,0,0,12,38,14,31,10,31,9,13,0,0,3,12,7,0,0,0,9,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
Spain,58,7,3,9,4,0,0,3,0,0,11,8,9,9,6,10,13,5,14,3,8,15,20,9,0,0,0,3,0,0,3,0,0,3,0,9,6,13,0,7,9,0,9,9,9,7,5,11,6,5,0,4,11,5,5,8,0,31,5,4,10,17,5,10,10,4,3,5,4,5,4,7,10,3,3,0,0,12,0,3,4,0,0,0,3,4,3,12,0,3,6,7,12,18,0,11,7,7,0,12,13,8,20,0,0,0,14,7,10,5,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,5,0,0,0,3,7,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Albania,0,0,0,0,0,0,0,0,0,0,13,0,0,14,14,18,0,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,8,17,11,21,0,3,9,0,5,0,3,0,0,14,0,4,0,0,9,0,4,3,0,0,0,0,5,0,4,0,0,0,0,4,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,23,10,19,0,12,3,9,0,0,0,3,22,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,4,5,0,4,0,0,0,0,0,0,15,10,5,8,13,10,7,7,0,0,8,3,5,9,4,0,6,0,9,13,0,0,0,10,0,31,68,35,0,78,44,0,52,11,19,14,19,48,36,3,0,0,14,11,3,9,17,26,29,12,14,22,34,9,25,0,3,6,5,0,20,9,7,13,4,0,0,5,3,0,3,0,0,0,0,3,3,8,0,4,30,66,28,63,52,111,41,119,0,19,19,36,230,0,0,0,24,77,37,3,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0
Bulgaria,4,0,0,8,0,5,0,0,0,0,3,8,0,4,0,3,0,0,0,0,0,0,11,4,0,5,0,0,3,0,4,0,0,0,3,9,6,7,0,8,0,0,5,5,3,9,11,4,3,0,0,12,6,4,9,6,0,6,0,0,0,0,0,5,0,0,8,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,21,0,10,7,5,7,0,3,0,0,0,0,0,3,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,14,14,0,3,3,6,9,0,5,0,27,9,14,22,42,22,19,19,16,16,36,10,26,20,0,11,4,5,7,28,24,0,3,14,6,80,60,41,0,67,40,0,53,31,86,56,49,30,47,12,10,17,24,41,10,6,10,30,24,8,22,28,15,16,19,0,8,0,6,6,24,5,10,19,9,0,0,19,5,11,17,0,0,0,17,15,20,23,7,13,55,47,48,56,76,129,80,105,0,22,33,40,116,0,0,10,39,38,18,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,0,0,0,57,0,0,48,0,4,25,0,11,5,0,9,3,3,0,14,5,0,0,0,0,0,0,0,0,13,12,15,20,5,4,0,3,15,0,5,13,0,0,0,0
Cyprus,9,11,0,3,0,0,0,0,0,0,9,5,5,21,34,15,3,12,6,10,17,5,35,18,0,0,0,5,0,0,0,0,0,0,0,12,24,21,0,15,15,0,9,0,18,14,9,7,16,0,5,23,13,9,5,11,6,11,21,10,12,15,10,4,9,3,5,0,24,23,17,5,3,9,3,0,3,8,6,4,3,0,0,4,0,3,8,7,3,13,18,22,27,48,3,22,15,32,0,8,4,6,33,0,0,0,24,92,47,13,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,7,5,0,0,0,0
The former Yugoslav Republic of Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,4,0,0,0,4,4,0,0,0,0,0,7,0,11,0,11,7,0,11,13,0,11,6,8,13,3,0,0,0,10,9,3,0,0,3,5,0,10,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,10,41,5,10,44,10,12,0,0,7,8,9,0,0,0,5,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
